,rdot,qrad,x,y,E1,E257,E250,b249,lv,V,ID
115,0.00024917688512774333,237477.12964258465,0.0663034345831072,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
116,0.0002481953957204527,236541.72471086922,0.06710711486478982,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
117,0.00024595526333328206,234406.774636941,0.06791079513804099,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
118,0.00024611908543540825,234562.90469918575,0.06871447540286063,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
121,0.00024294863008473077,231541.313687833,0.07036479239090229,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
122,0.00024631056220348387,234745.39094084708,0.06953247448714772,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
123,0.0002556952608633419,243689.44407467265,0.07286815677157293,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
124,0.00025428312782708914,242343.6157890721,0.07371329589434866,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
125,0.0002656822623799362,253207.51976889718,0.07455843501762194,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
127,0.0007511236927025452,715855.7201567611,0.08254112237893914,0.008501505207468858,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
131,0.0026081188684842914,2485658.259741023,0.08297364766760898,0.006550292813390214,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
134,0.0023231815492637284,2214099.77765364,0.08297375459518044,0.001952407240595155,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
135,0.0022722007302474795,2165512.6923764474,0.08297377275710825,0.001171444345155376,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
137,0.002529737172017484,2410956.8672586856,0.08297366358670347,0.005865771750213908,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
139,0.0025579934446716916,2437886.4057705724,0.08297370002418084,0.00429896022357644,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
142,0.00022741742931491703,216739.35893658383,0.032342823660150594,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
143,0.00022557693559308525,214985.28304803686,0.03327569786576082,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
145,0.0002558444292103994,243831.60842861983,0.0351193860695486,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
146,0.0002074999675292598,197757.09397970836,0.03600813986820909,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
148,0.0002835939181790009,270278.15858086874,0.029635829726168267,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
149,0.00028919840122564684,275619.4908893038,0.028764041303330837,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
151,0.00034340259756292295,327278.60427038773,0.027005206782597393,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
155,0.0003688596082668682,351540.31629939156,0.024957716843836165,0.007257787879404231,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
157,0.00032128315349465086,306197.7480588254,0.02438451063478997,0.00670292442389313,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
158,0.0002796560588788475,266525.19600949157,0.02262586493706987,0.005000555863579674,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
159,0.00028923786011086406,275657.09703722346,0.023212080169185273,0.005568012049907516,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
163,0.00021446546043663747,204395.5318161145,0.04952411641828705,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
164,0.00021150263153730183,201571.81844368184,0.050407077082925564,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
165,0.00021212910538862082,202168.87708309415,0.05129003773164138,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
166,0.000216242526237856,206089.15795420122,0.041281760127512446,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
167,0.00020250172074176724,192993.53294662744,0.04040983561689772,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
169,0.00022828474768437948,217565.95357340435,0.03866598660110936,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
171,0.0002254601392634156,214873.9707282424,0.0439705473524159,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
173,0.00021890279935519416,208624.52163228445,0.04216828737519823,0.0086,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
177,0.0001691829815036275,161239.22895680598,0.02026906509372718,0.0027191742518885833,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
178,0.0002217168659456259,211306.45762396447,0.020858691444045025,0.003289932399714913,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
179,0.0002503910502725008,238634.28534481308,0.02144831779465577,0.0038606905478247733,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
181,0.0,0.0,0.0184028444697016,0.0009126731919716503,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
183,0.00010864854557937312,103547.10361999912,0.01965997042882661,0.0021295707808053344,15589.558908994824,86666.00035105884,5795.108933003095,2.053386485658701,800879.3152812795,10.490929639624582,11
185,0.0002528550387302356,258228.18905935838,0.06281940289431029,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
191,0.00023642209434910014,241446.04586077656,0.060245689932558744,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
193,0.00022749550386050852,232329.76600367329,0.05620465237945034,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
194,0.0002312857780678757,236200.5832494828,0.05699350883262966,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
195,0.00023526139922190126,240260.68605046105,0.05778236528316877,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
197,0.000222871331399192,227607.33022948305,0.053812883226002764,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
199,0.00022656803414922836,231382.58763161482,0.05541075596657661,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
201,0.00033432330175795893,341427.646476162,0.07932266874142052,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
202,0.0003320205996926105,339076.01216717536,0.08011866060635783,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
205,0.00034876678576197033,356178.0534160166,0.07776272438901533,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
206,0.00033629462289191795,343440.85803418746,0.07853735666897302,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
207,0.00031330615073735886,319963.88259591453,0.0663034345831072,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
209,0.0002759763863527296,281840.8635591471,0.06791079513804099,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
211,0.00025936487244911663,264876.3562493254,0.07202942824333369,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
212,0.00025885386255973655,264354.4874386871,0.07119711030963094,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
213,0.00026131052952887306,266863.35839394963,0.07036479239090229,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
214,0.00026624645012103337,271904.166923038,0.06953247448714772,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
218,0.00028871853445117904,294853.78133492917,0.07540357414139276,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
219,0.000602287784156294,615086.3537316411,0.08254112237893914,0.008501505207468858,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
223,0.002473089578766127,2525642.544096884,0.08297364766760898,0.006550292813390214,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
226,0.0021853321029349296,2231770.2438044683,0.08297375459518044,0.001952407240595155,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
227,0.0022355736383128997,2283079.4079855164,0.08297377275710825,0.001171444345155376,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
229,0.0025088777188172627,2562191.179400399,0.08297366358670347,0.005865771750213908,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
230,0.0024266049774765625,2478170.148567694,0.08297368180544218,0.005082365986192936,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
233,0.0002384780913499601,243545.73264143016,0.03140994945190166,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
236,0.000222193830824303,226915.4328189398,0.03420857206873243,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
237,0.0002093371417505195,213785.54008081515,0.0351193860695486,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
239,0.0002463433934126849,251578.17177438783,0.03050761814057415,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
241,0.0002734556780801473,279266.5904276145,0.028764041303330837,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
243,0.00033738723387566306,344556.6869181824,0.027005206782597393,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
244,0.00038552556098776,393717.9498177751,0.026176033765098024,0.00833559698255834,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
247,0.0003465943735895117,353959.4776502278,0.024957716843836165,0.007257787879404231,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
249,0.0003111365279944911,317748.15553488315,0.02438451063478997,0.00670292442389313,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
250,0.0002459216926468708,251147.50989939432,0.02262586493706987,0.005000555863579674,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
251,0.0002783387883237171,284253.4663922241,0.023212080169185273,0.005568012049907516,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
253,0.000204801602677789,209153.62114797282,0.04767248842120862,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
254,0.00018347202173750324,187370.78823602427,0.04673238998788297,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
257,0.00019549715623567738,199651.45592709456,0.05129003773164138,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
261,0.00020168469598348806,205970.48042363464,0.03866598660110936,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
262,0.00019077738429638754,194831.3891932998,0.0448716773525826,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
263,0.00018518780304281648,189123.02976349342,0.0439705473524159,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
265,0.00020215437887348368,206450.14403929678,0.04216828737519823,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
267,0.00021644902215667587,221048.5474043425,0.03689689366255848,0.0086,15693.289976989297,89372.22108391878,6528.53261148916,2.767676425133803,858193.2133559397,6.705592543776221,12
