T,lambda,G,nu_l,rho_l,gamma,r,h_0,u_0,ts_dt,R,volume,time
187.6165047,0.003730166,22.34871806,1.65E-06,703.5507549,0.022066845,0.000384526,0.000932542,0.010500204,1.00E-05,0.002797625,1.66E-09,0.00192988
102.3627902,0.004560816,10.51063861,3.97E-06,757.5038189,0.028034605,4.17E-05,0.001140204,0.000931958,5.00E-05,0.003420612,3.01E-09,0.00451719
115.8197565,0.007982151,23.35463011,3.28E-06,748.9875382,0.027092617,0.000441272,0.001995538,0.005631018,1.00E-05,0.005986613,1.61E-08,0.00632764
180.7990286,0.003849025,20.91022792,1.73E-06,707.8652148,0.022544068,0.0003121,0.000962256,0.008259306,1.00E-05,0.002886769,1.81E-09,0.00209078
165.2054988,0.003950465,17.17383973,1.95E-06,717.733626,0.023635615,0.000168003,0.000987616,0.004331812,5.00E-05,0.002962849,,
117.9224692,0.005837222,11.69253929,3.19E-06,747.6568303,0.026945427,5.39E-05,0.001459306,0.000940194,5.00E-05,0.004377917,6.32E-09,0.00555
128.2021903,0.005987851,24.78091618,2.81E-06,741.1512786,0.026225847,0.000530783,0.001496963,0.009029131,1.00E-05,0.004490888,6.85E-09,0.00418769
98.31606683,0.006767536,16.14305129,4.22E-06,760.0647997,0.028317875,0.000138432,0.001691884,0.002083559,5.00E-05,0.005075652,9.91E-09,0.00617266
79.03665983,0.006938252,18.09933766,5.89E-06,772.2658291,0.029667434,0.000198138,0.001734563,0.00290882,5.00E-05,0.005203689,1.07E-08,0.00704453
200.2154922,0.009485612,27.71135548,1.52E-06,695.5774487,0.021184916,0.000750256,0.002371403,0.008056455,1.00E-05,0.007114209,2.73E-08,0.00664589
150.9695669,0.007605872,20.57501625,2.21E-06,726.7428773,0.02463213,0.000296643,0.001901468,0.0039727,1.00E-05,0.005704404,1.39E-08,0.005732
66.40676863,0.009540315,22.28560688,7.61E-06,780.2586929,0.030551526,0.000381136,0.002385079,0.00406928,1.00E-05,0.007155237,2.78E-08,0.0135396
138.2060749,0.004468829,13.23998302,2.52E-06,734.8202908,0.025525575,7.59E-05,0.001117207,0.001730471,5.00E-05,0.003351622,2.84E-09,0.00337051
231.3740805,0.008482308,25.66569845,1.30E-06,675.8586444,0.019003814,0.000591868,0.002120577,0.007107399,1.00E-05,0.006361731,1.95E-08,0.00570194
82.37713392,0.00567793,19.35558861,5.54E-06,770.1518003,0.029433601,0.000244757,0.001419482,0.004390808,5.00E-05,0.004258447,5.86E-09,0.00604648
145.859429,0.006078455,23.38219628,2.33E-06,729.9768431,0.02498984,0.0004429,0.001519614,0.007421866,1.00E-05,0.004558841,7.15E-09,0.00405942
69.6775456,0.006446952,18.08282019,7.10E-06,778.1887721,0.030322572,0.000197569,0.001611738,0.003121509,5.00E-05,0.004835214,,
142.7055722,0.008410197,28.59567025,2.40E-06,731.9727707,0.02521061,0.000826467,0.002102549,0.010009658,1.00E-05,0.006307647,1.92E-08,0.00596496
137.8197514,0.006183128,11.58490233,2.53E-06,735.0647767,0.025552617,5.26E-05,0.001545782,0.000866705,5.00E-05,0.004637346,7.51E-09,0.0058543
75.53880783,0.00470657,17.80678242,6.30E-06,774.4794551,0.029912283,0.000188235,0.001176643,0.00407377,5.00E-05,0.003529928,,
210.9937745,0.007965421,16.4547628,1.43E-06,688.756381,0.020430436,0.000146943,0.001991355,0.001879057,5.00E-05,0.005974066,1.62E-08,0.00624531
241.5383368,0.008927337,15.22954267,1.24E-06,669.4261649,0.018292316,0.000115572,0.002231834,0.001318658,5.00E-05,0.006695502,2.27E-08,0.00742266
192.0474658,0.003799519,18.63355638,1.60E-06,700.7466082,0.021756677,0.000217139,0.00094988,0.005821164,5.00E-05,0.002849639,,
156.1987382,0.003430102,23.19267401,2.11E-06,723.4335809,0.024266088,0.000431787,0.000857525,0.012822192,1.00E-05,0.002572576,1.29E-09,0.0019199
256.6172224,0.009723774,12.26301224,1.17E-06,659.8834478,0.017236794,6.12E-05,0.002430943,0.000640704,5.00E-05,0.00729283,2.93E-08,0.00934414
142.3914574,0.006347167,20.22098428,2.41E-06,732.1715592,0.025232598,0.000280885,0.001586792,0.004507627,1.00E-05,0.004760376,8.06E-09,0.00454398
78.13307491,0.004634648,29.47027458,5.99E-06,772.8376655,0.029730685,0.00090663,0.001158662,0.019925702,1.00E-05,0.003475986,,
245.2397908,0.007428208,22.89237816,1.22E-06,667.0836888,0.018033215,0.000414556,0.001857052,0.005684585,1.00E-05,0.005571156,1.30E-08,0.00488148
126.5402253,0.009276857,16.20781695,2.87E-06,742.203058,0.026342184,0.00014017,0.002319214,0.001539056,5.00E-05,0.006957643,2.55E-08,0.00877051
227.8994785,0.009997201,27.16680845,1.32E-06,678.0575565,0.019247037,0.000705689,0.0024993,0.007190105,1.00E-05,0.007497901,3.19E-08,0.00709387
224.8015267,0.007263302,17.57925769,1.34E-06,680.0181044,0.019463893,0.000180776,0.001815825,0.002535174,5.00E-05,0.005447476,1.20E-08,0.00530937
