%mcmc_id interface             Lv       CURVE1_1 
358          NO_ID    8.074288895 0.0002343980506 
359          NO_ID    8.453224936 0.0002190997494 
360          NO_ID    8.321252145 0.0002244861054 
361          NO_ID    8.174137723 0.0002304313976 
362          NO_ID    8.396485959 0.0002214165233 
363          NO_ID    8.541083948 0.0002155298692 
364          NO_ID    8.683024926 0.0002098916006 
365          NO_ID     8.02812804 0.0002362109519 
366          NO_ID    8.075692792 0.000234342709 
367          NO_ID    8.027142747 0.0002362495072 
368          NO_ID    8.334673741 0.0002239393154 
369          NO_ID    8.137441343 0.0002318963889 
370          NO_ID     8.47284675 0.0002182997911 
371          NO_ID    8.664914067 0.0002105974562 
372          NO_ID     8.74784221 0.0002074094612 
373          NO_ID    8.988699313 0.0001990317141 
374          NO_ID    8.898191622 0.0002019952495 
375          NO_ID    8.710768109 0.000208820264 
376          NO_ID    8.587815531 0.0002136501764 
377          NO_ID    8.640953592 0.0002115384257 
378          NO_ID    8.927230077 0.0002010173731 
379          NO_ID    8.701400702 0.0002091805878 
380          NO_ID     8.75454661 0.0002071571029 
381          NO_ID     8.44188678 0.0002195624061 
382          NO_ID    8.114365997 0.0002328133653 
383          NO_ID    8.279204395 0.0002261953535 
384          NO_ID    8.777282521 0.000206308085 
385          NO_ID     8.61221108 0.0002126767906 
386          NO_ID    8.511839519 0.0002167141082 
387          NO_ID    8.412134152 0.0002207773347 
388          NO_ID    8.674082854 0.000210239502 
389          NO_ID    8.631818885 0.0002118991381 
390          NO_ID     8.26653376 0.0002267090832 
391          NO_ID    8.290201977 0.0002257489219 
392          NO_ID    8.599484415 0.0002131838258 
393          NO_ID    8.814984234 0.0002049248502 
394          NO_ID    8.805303946 0.0002052769354 
395          NO_ID    8.358998012  0.00022294725 
396          NO_ID    8.829292638 0.0002044085026 
397          NO_ID    8.880166473  0.00020261434 
398          NO_ID    8.564021515 0.0002146050271 
399          NO_ID    8.142493864 0.0002316951693 
400          NO_ID    8.684337619 0.0002098406314 
401          NO_ID    8.666746994 0.0002105258004 
402          NO_ID    8.455185632 0.0002190197697 
403          NO_ID    8.443035091 0.0002195155379 
404          NO_ID     8.42039186 0.000220440055 
405          NO_ID    8.674368112 0.0002102283852 
406          NO_ID     8.84573316 0.0002038214064 
407          NO_ID    8.822080029 0.000204668169 
408          NO_ID    8.939892988 0.0002005987427 
409          NO_ID    8.764993269 0.0002067656748 
410          NO_ID    8.648460466 0.0002112427888 
411          NO_ID    8.498621987 0.0002172508849 
412          NO_ID    8.786661371 0.0002059610249 
413          NO_ID    8.753173318 0.0002072087223 
414          NO_ID     8.86152192 0.0002032640478 
415          NO_ID    8.743296521 0.0002075810638 
416          NO_ID    8.759406016 0.0002069747501 
417          NO_ID    8.782926399 0.0002060990078 
418          NO_ID    8.740222682 0.0002076973286 
419          NO_ID    8.219900764 0.0002285933984 
420          NO_ID     8.46934626 0.0002184424231 
421          NO_ID    8.124042648 0.0002324292347 
422          NO_ID    8.148684836 0.0002314483963 
423          NO_ID    8.536469667 0.0002157163714 
424          NO_ID    8.138946926 0.0002318364446 
425          NO_ID    8.062972794 0.0002348436838 
426          NO_ID    8.164932576 0.0002307996489 
427          NO_ID    8.381486469 0.0002220291526 
428          NO_ID    8.644539449 0.0002113971155 
