%eval_id interface             Lv       CURVE1_1 
364          NO_ID     7.53415108 0.0002552469651 
365          NO_ID    6.800027057 0.0002880901831 
366          NO_ID    9.017854433 0.0001981323949 
367          NO_ID    9.930897968 0.0001858964254 
368          NO_ID    7.255505036 0.0002666269067 
369          NO_ID    8.411953267 0.0002207847232 
370          NO_ID    8.500234833 0.0002171853412 
371          NO_ID    7.905252571 0.000240978538 
372          NO_ID    8.819010516 0.0002047790573 
373          NO_ID    6.632205554 0.0002969350353 
374          NO_ID    9.154604516  0.00019431185 
375          NO_ID     10.4586403 0.0001901367372 
376          NO_ID    9.699531571 0.0001861852977 
377          NO_ID    8.427683981 0.0002201422542 
378          NO_ID    7.144635777 0.0002714910349 
379          NO_ID    7.205404993 0.000268797489 
380          NO_ID    7.302038383 0.0002646493084 
381          NO_ID    8.279148229 0.0002261976322 
382          NO_ID    10.23331812 0.0001876514027 
383          NO_ID    8.262217482 0.0002268839273 
384          NO_ID    8.705594559 0.0002090190853 
385          NO_ID    9.010546255 0.0001983551606 
386          NO_ID    9.591506762 0.0001869110372 
387          NO_ID    7.493006022 0.0002568671314 
388          NO_ID    8.496670503 0.000217330206 
389          NO_ID    10.37297672 0.0001890948147 
390          NO_ID    9.749592669 0.0001859828499 
391          NO_ID    6.343663758 0.0003129614454 
392          NO_ID    6.849715392 0.0002855600802 
393          NO_ID    8.231335873 0.000228132335 
394          NO_ID    6.409756894 0.0003092250025 
395          NO_ID    8.390640404 0.0002216552902 
396          NO_ID    9.273154312 0.0001915683464 
397          NO_ID    8.622785756 0.0002122568407 
398          NO_ID    9.082108568 0.0001962532107 
399          NO_ID    8.342807368 0.0002236077284 
400          NO_ID    10.38971665 0.0001892897571 
401          NO_ID    9.520036595 0.000187619921 
402          NO_ID    9.972570822 0.0001860081873 
403          NO_ID    10.28782772 0.000188174044 
404          NO_ID    9.368440307 0.0001897624664 
405          NO_ID    8.866218053 0.0002030995254 
406          NO_ID    8.887642447 0.0002023564743 
407          NO_ID    10.17178204 0.0001871298282 
408          NO_ID    9.580102624 0.0001870116338 
409          NO_ID    10.11192087 0.0001866973944 
410          NO_ID    8.626774758 0.0002120987605 
411          NO_ID    8.450244928 0.0002192213247 
412          NO_ID    8.481701475 0.0002179391724 
413          NO_ID    9.412165675 0.000189053293 
414          NO_ID    8.504611759 0.0002170075299 
415          NO_ID    7.739901047 0.0002473109474 
416          NO_ID    9.447778063 0.000188530737 
417          NO_ID    6.709335788 0.0002928158277 
418          NO_ID    7.134230703 0.0002719591111 
419          NO_ID     7.76446282 0.0002463723499 
420          NO_ID     8.90112177 0.0002018954719 
421          NO_ID    9.089508707 0.0001960461817 
422          NO_ID    9.547337388 0.0001873269672 
423          NO_ID    9.413138071 0.0001890383709 
424          NO_ID    8.961079509 0.0001999092837 
425          NO_ID    7.840119024 0.0002434792767 
426          NO_ID    8.939255696 0.0002006196956 
427          NO_ID    7.757094403 0.0002466538998 
428          NO_ID    7.536513038 0.0002551544264 
429          NO_ID    7.771601313 0.0002460995872 
430          NO_ID    6.735869964 0.0002914194114 
431          NO_ID    7.277437509 0.0002656903275 
432          NO_ID    8.422720453 0.0002203449533 
433          NO_ID    9.935432574 0.0001859063456 
434          NO_ID    7.811073374 0.000244590841 
435          NO_ID    6.487906916 0.0003048492077 
436          NO_ID    9.173011665 0.0001938502743 
437          NO_ID     9.14643522 0.0001945208218 
438          NO_ID    8.346082263 0.0002234741761 
439          NO_ID    6.728208503 0.0002918214743 
440          NO_ID    9.467533966 0.0001882619594 
441          NO_ID     9.76700026 0.0001859314352 
442          NO_ID    10.01063006 0.0001861495974 
443          NO_ID    9.512379939 0.0001877070708 
444          NO_ID    9.085339893 0.0001961625664 
